StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386206639006\ProjectBase\ConsumptionTax.java,"class、interfaceまたはenumがありません",,,,,,,,,1386206639006,1386206648931,0:00:09,true,1,1,9,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208862118\ProjectBase\ConsumptionTax.java,"シンボルを見つけられません","test(int)",メソッド,,,,,,,1386208862118,1386208869829,0:00:07,true,1,1,7,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386236963243\ProjectBase\CopyOfCoin.java,"変数AはすでにメソッドBで定義されています",,,"z",変数,"test(int)",メソッド,,,1386236963243,1386236984915,0:00:21,true,1,1,21,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232836597\ProjectBase\CopyOfJanken.java,"class、interfaceまたはenumがありません",,,,,,,,,1386232836597,1386233359037,0:00:11,false,4,6,11,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232836597\ProjectBase\CopyOfJanken.java,"class、interfaceまたはenumがありません",,,,,,,,,1386232836597,1386233359037,0:00:11,false,4,6,11,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232836597\ProjectBase\CopyOfJanken.java,"class、interfaceまたはenumがありません",,,,,,,,,1386232836597,1386233359037,0:00:11,false,4,6,11,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232836597\ProjectBase\Coin.java,"';'がありません",,,,,,,,,1386232836597,1386234063988,0:00:00,false,4,0,0,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232869736\ProjectBase\CopyOfJanken.java,"class、interfaceまたはenumがありません",,,,,,,,,1386232869736,1386233359037,0:00:00,false,7,6,0,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232869736\ProjectBase\CopyOfJanken.java,"class、interfaceまたはenumがありません",,,,,,,,,1386232869736,1386233359037,0:00:00,false,7,6,0,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386232869736\ProjectBase\CopyOfJanken.java,"class、interfaceまたはenumがありません",,,,,,,,,1386232869736,1386233359037,0:00:00,false,7,6,0,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,"'.class'がありません",,,,,,,,,1386233359037,1386233422787,0:00:11,true,10,4,11,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,"<identifier>がありません",,,,,,,,,1386233359037,1386233422787,0:00:11,true,10,4,11,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,"文ではありません",,,,,,,,,1386233359037,1386233422787,0:00:11,true,10,4,11,false
