StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,'.class'がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:11,TRUE,10,4,11,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,<identifier>がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:11,TRUE,10,4,11,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,文ではありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:11,TRUE,10,4,11,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,';'がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:11,TRUE,10,4,11,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,<identifier>がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:03,TRUE,10,5,3,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,文ではありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:03,TRUE,10,5,3,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,';'がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:03,TRUE,10,5,3,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\CopyOfJanken.java,構文解析中にファイルの終わりに移りました,,,,,,,,,1.38623E+12,1.38623E+12,0:00:03,TRUE,10,5,3,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233359037\ProjectBase\Coin.java,';'がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:03,FALSE,10,5,3,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233593387\ProjectBase\CopyOfJanken.java,型の開始が不正です,,,,,,,,,1.38623E+12,1.38623E+12,0:00:38,TRUE,2,1,38,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233977858\ProjectBase\CopyOfJanken.java,';'がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:20,TRUE,3,2,20,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386233977858\ProjectBase\Coin.java,';'がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:20,FALSE,3,2,20,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208499053\ProjectBase\CopyOfWinningRate.java,シンボルを見つけられません,syouritu,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:50,TRUE,1,1,50,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208549238\ProjectBase\CopyOfWinningRate.java,クラスAのメソッドBは指定された型に適用できません。,,,CopyOfWinningRate,クラス,getwinningrate,メソッド,,,1.38621E+12,1.38621E+12,0:00:24,TRUE,1,1,24,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208602724\ProjectBase\CopyOfWinningRate.java,クラスAのメソッドBは指定された型に適用できません。,,,CopyOfWinningRate,クラス,getwinningrate,メソッド,,,1.38621E+12,1.38621E+12,0:01:06,TRUE,1,1,66,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208669554\ProjectBase\CopyOfWinningRate.java,シンボルを見つけられません,getwinningrate,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:15,TRUE,1,1,15,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208684883\ProjectBase\CopyOfWinningRate.java,';'がありません,,,,,,,,,1.38621E+12,1.38621E+12,0:00:12,TRUE,1,1,12,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208738885\ProjectBase\CopyOfWinningRate.java,クラスAのメソッドBは指定された型に適用できません。,,,CopyOfWinningRate,クラス,getwinningrate,メソッド,,,1.38621E+12,1.38621E+12,0:00:25,TRUE,2,1,25,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386208738885\ProjectBase\CopyOfWinningRate.java,シンボルを見つけられません,getwinningrate,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:15,TRUE,2,1,15,FALSE
